Employee_ID,Full_Name,Age,Gender,Department,City,Salary,Years_Exp,Performance,Education,Status,Join_Date,Bonus_Pct
EMP0039,Henry Smith,46.0,Non-binary,IT,Birmingham,62019.0,32,1.5,PhD,Resigned,2010-04-25,10.8
EMP0040,Diana Jones,35.0,Female,Marketing,Bristol,69948.0,23,3.6,PhD,On Leave,2010-04-28,19.6
EMP0041,Charlie Brown,30.0,Male,Operations,Birmingham,90133.0,18,1.2,High School,Resigned,2010-05-01,11.6
EMP0042,Eve Smith,47.0,Non-binary,Marketing,London,91458.0,17,3.4,PhD,Active,2010-05-04,23.5
EMP0043,Eve Davis,23.0,Female,Finance,,52526.0,23,4.5,Bachelor,Active,2010-05-07,12.2
EMP0044,Eve Smith,,Female,IT,Glasgow,77198.0,34,4.6,Master,On Leave,2010-05-10,11.6
EMP0045,Diana Brown,49.0,Female,Finance,,68395.0,0,2.8,High School,Active,2010-05-13,19.6
EMP0046,Frank Brown,28.0,Non-binary,Sales,Glasgow,49031.0,24,2.8,Bachelor,Active,2010-05-16,20.5
EMP0047,Diana Jones,29.0,Male,HR,Manchester,62701.0,33,1.3,PhD,Active,2010-05-19,13.9
EMP0048,Charlie Brown,56.0,Non-binary,HR,Manchester,50939.0,24,3.7,Bachelor,Resigned,2010-05-22,
EMP0049,Eve Jones,35.0,Non-binary,Marketing,Leeds,74145.0,15,4.3,PhD,Active,2010-05-25,11.7
EMP0050,Alice Taylor,38.0,Male,Operations,Glasgow,45324.0,33,2.0,High School,Resigned,2010-05-28,24.2
EMP0051,Grace Davis,57.0,Male,Finance,Leeds,47867.0,28,2.7,,Active,2010-05-31,18.8
EMP0052,James Brown,61.0,Male,Operations,Leeds,25203.0,18,4.4,Master,Resigned,2010-06-03,20.3
EMP0053,Henry Jones,,Female,Marketing,Manchester,41544.0,22,4.5,High School,On Leave,2010-06-06,0.8
EMP0054,Charlie Brown,23.0,Male,HR,Glasgow,40899.0,18,2.0,Bachelor,Active,2010-06-09,
EMP0055,Alice Taylor,27.0,Non-binary,Operations,Manchester,,24,3.2,Bachelor,Active,2010-06-12,16.2
EMP0056,Isla Brown,25.0,Male,Operations,Leeds,28748.0,15,1.8,PhD,On Leave,2010-06-15,20.8
EMP0057,Diana Jones,50.0,Non-binary,HR,,91629.0,8,1.4,High School,Active,2010-06-18,1.2
EMP0058,James Smith,39.0,Female,Finance,,45884.0,0,,High School,Active,2010-06-21,21.3
EMP0059,Isla Brown,47.0,Non-binary,HR,Bristol,50183.0,18,4.3,High School,Active,2010-06-24,
EMP0060,Alice Jones,55.0,Non-binary,Operations,Glasgow,44259.0,32,4.0,High School,Active,2010-06-27,4.9
EMP0061,Grace Brown,31.0,Male,Finance,,60959.0,33,1.2,PhD,Active,2010-06-30,7.9
EMP0062,James Taylor,57.0,Male,Finance,Leeds,58457.0,15,4.4,Master,Resigned,2010-07-03,7.0
EMP0063,Henry Davis,35.0,Non-binary,HR,Bristol,27103.0,17,2.8,High School,Active,2010-07-06,13.3
EMP0064,James Davis,52.0,Male,Operations,Birmingham,90901.0,33,2.4,PhD,Active,2010-07-09,1.3
EMP0065,Eve Brown,36.0,Female,Marketing,Manchester,69535.0,24,3.2,Master,On Leave,2010-07-12,4.0
EMP0066,Diana Brown,29.0,Female,Operations,Leeds,,5,1.4,Master,Resigned,2010-07-15,20.3
EMP0067,Frank Taylor,,Male,IT,Glasgow,37391.0,20,4.0,PhD,Active,2010-07-18,3.3
EMP0068,Isla Jones,44.0,Female,Sales,Manchester,53901.0,5,3.3,High School,Resigned,2010-07-21,5.8
EMP0069,Frank Taylor,61.0,Male,Marketing,Manchester,92914.0,31,1.7,Master,Active,2010-07-24,11.3
EMP0070,Diana Jones,42.0,Non-binary,Finance,Manchester,75357.0,30,1.8,,Active,2010-07-27,12.9
EMP0071,Grace Smith,37.0,Non-binary,Marketing,,63437.0,9,1.7,High School,Active,2010-07-30,19.1
EMP0072,Eve Jones,39.0,Female,Finance,London,60503.0,29,1.2,Bachelor,On Leave,2010-08-02,11.2
EMP0073,Diana Taylor,45.0,Male,Finance,Leeds,66258.0,17,3.4,High School,Active,2010-08-05,19.7
EMP0074,Henry Wilson,47.0,Male,Marketing,London,58724.0,23,4.4,Bachelor,Active,2010-08-08,15.5
EMP0075,James Wilson,46.0,Female,Finance,London,89286.0,8,1.1,Master,On Leave,2010-08-11,2.8
EMP0076,Charlie Wilson,50.0,Non-binary,Finance,London,39908.0,30,1.2,PhD,Active,2010-08-14,3.9
EMP0077,Eve Smith,36.0,Female,IT,Manchester,75626.0,14,3.3,Bachelor,Active,2010-08-17,10.9
EMP0078,Alice Taylor,,Non-binary,Operations,Bristol,62228.0,3,4.3,PhD,Active,2010-08-20,9.9
EMP0079,Bob Smith,,Male,Operations,Manchester,48386.0,8,2.3,Master,Resigned,2010-08-23,18.6
EMP0080,Bob Jones,28.0,Non-binary,Sales,Manchester,71754.0,8,2.4,High School,Active,2010-08-26,14.5
EMP0081,Bob Davis,30.0,Female,Sales,Glasgow,,25,3.4,Master,Active,2010-08-29,9.7
EMP0082,Frank Jones,45.0,Male,IT,Glasgow,85815.0,3,2.1,PhD,Active,2010-09-01,4.3
EMP0083,Henry Brown,22.0,Female,Sales,London,88344.0,16,1.1,Master,Active,2010-09-04,5.7
EMP0084,Bob Wilson,,Female,Marketing,Manchester,60618.0,15,3.9,High School,Resigned,2010-09-07,14.4
EMP0085,Isla Davis,45.0,Non-binary,HR,London,86114.0,14,3.5,,On Leave,2010-09-10,10.6
EMP0086,Isla Davis,32.0,Female,HR,Glasgow,50525.0,34,3.3,High School,On Leave,2010-09-13,12.9
EMP0087,Diana Jones,38.0,Non-binary,HR,,39334.0,4,,Bachelor,On Leave,2010-09-16,4.3
EMP0088,Bob Taylor,29.0,Male,IT,Leeds,87767.0,4,3.7,PhD,Active,2010-09-19,16.6
EMP0089,Bob Wilson,56.0,Non-binary,IT,London,31644.0,19,1.8,High School,Resigned,2010-09-22,21.3
EMP0090,Henry Brown,56.0,Male,Finance,Bristol,57933.0,14,2.4,High School,Active,2010-09-25,6.4
EMP0091,Henry Jones,54.0,Non-binary,HR,Leeds,68469.0,17,1.5,Master,On Leave,2010-09-28,12.3
EMP0092,Grace Smith,26.0,Female,Marketing,Birmingham,58687.0,1,1.5,Bachelor,Resigned,2010-10-01,24.4
EMP0093,Frank Jones,60.0,Non-binary,Sales,London,,28,3.7,High School,Active,2010-10-04,8.3
EMP0094,Bob Jones,49.0,Non-binary,Marketing,London,42375.0,12,4.4,Bachelor,Active,2010-10-07,14.9
EMP0095,Isla Smith,28.0,Male,Sales,Birmingham,90206.0,3,4.9,Bachelor,Resigned,2010-10-10,
EMP0096,Charlie Smith,30.0,Female,HR,Birmingham,61607.0,9,3.5,,Resigned,2010-10-13,15.2
EMP0097,Henry Davis,29.0,Non-binary,HR,London,48993.0,30,1.7,High School,Active,2010-10-16,2.2
EMP0098,Henry Wilson,33.0,Female,HR,,69386.0,7,1.4,Master,Resigned,2010-10-19,24.0
EMP0099,Grace Smith,55.0,Non-binary,IT,Manchester,71287.0,2,,PhD,Active,2010-10-22,17.9
EMP0100,Frank Davis,54.0,Non-binary,Sales,Leeds,33210.0,8,3.3,PhD,Active,2010-10-25,19.7
EMP0101,Henry Smith,44.0,Female,IT,Leeds,35922.0,29,,High School,Active,2010-10-28,17.6
EMP0102,James Brown,45.0,Non-binary,IT,Leeds,61289.0,10,4.1,Bachelor,Active,2010-10-31,14.7
EMP0103,Frank Brown,58.0,Female,Operations,Manchester,58340.0,34,3.8,,Active,2010-11-03,11.2
EMP0104,Bob Jones,56.0,Non-binary,Marketing,Birmingham,64850.0,12,4.3,High School,Active,2010-11-06,21.5
EMP0105,Henry Jones,61.0,Male,Marketing,Bristol,81984.0,12,1.2,,On Leave,2010-11-09,23.9
EMP0106,Frank Taylor,,Female,Finance,,36094.0,11,4.0,,On Leave,2010-11-12,12.5
EMP0107,Frank Taylor,48.0,Non-binary,IT,London,58418.0,9,4.4,Bachelor,Active,2010-11-15,23.3
EMP0108,Diana Taylor,56.0,Non-binary,Sales,Glasgow,,8,2.1,,Active,2010-11-18,14.6
EMP0109,Bob Brown,,Male,Operations,Leeds,93798.0,6,3.6,High School,On Leave,2010-11-21,13.5
EMP0110,James Jones,56.0,Female,Operations,Birmingham,47164.0,1,2.3,Master,Resigned,2010-11-24,11.4
EMP0111,Eve Taylor,58.0,Non-binary,Marketing,Bristol,60595.0,22,4.8,,Active,2010-11-27,5.2
EMP0112,Alice Taylor,35.0,Male,IT,London,55257.0,20,1.1,,Resigned,2010-11-30,0.1
EMP0113,Bob Wilson,24.0,Non-binary,Finance,Manchester,39211.0,22,3.3,Master,Active,2010-12-03,6.0
EMP0114,Diana Brown,22.0,Female,IT,Manchester,30232.0,28,1.7,PhD,Active,2010-12-06,12.7
EMP0115,Bob Davis,26.0,Non-binary,HR,Bristol,92753.0,13,3.8,Bachelor,Active,2010-12-09,9.5
EMP0116,Isla Taylor,47.0,Non-binary,IT,London,77691.0,25,1.7,Bachelor,Active,2010-12-12,11.2
EMP0117,Charlie Taylor,35.0,Non-binary,HR,Leeds,50613.0,4,1.9,Master,Active,2010-12-15,24.5
EMP0118,James Davis,60.0,Non-binary,HR,Birmingham,39026.0,30,3.0,Bachelor,Resigned,2010-12-18,8.8
EMP0119,Henry Smith,48.0,Male,Finance,London,78535.0,24,4.7,Bachelor,Active,2010-12-21,11.3
EMP0120,Bob Taylor,30.0,Male,Sales,,55908.0,30,1.8,Bachelor,On Leave,2010-12-24,3.3
EMP0121,James Brown,36.0,Female,Marketing,Bristol,77113.0,19,1.6,Bachelor,Active,2010-12-27,1.2
EMP0122,James Jones,36.0,Male,IT,Bristol,44610.0,16,,Bachelor,On Leave,2010-12-30,19.4
EMP0123,Grace Smith,47.0,Male,HR,Birmingham,71646.0,1,3.0,Bachelor,Resigned,2011-01-02,14.3
EMP0124,Henry Smith,34.0,Female,IT,Bristol,88185.0,24,4.6,Bachelor,Resigned,2011-01-05,19.0
EMP0125,Frank Taylor,53.0,Male,Sales,Bristol,72574.0,12,,Bachelor,Active,2011-01-08,3.7
EMP0126,Grace Taylor,60.0,Male,Marketing,London,61182.0,27,3.6,PhD,Active,2011-01-11,14.3
EMP0127,Alice Taylor,,Female,Sales,Leeds,,5,1.9,Bachelor,Active,2011-01-14,6.3
EMP0128,Isla Brown,25.0,Female,Marketing,Birmingham,44288.0,2,1.6,PhD,Resigned,2011-01-17,5.7
EMP0129,James Brown,51.0,Female,Operations,London,54877.0,34,3.7,PhD,Active,2011-01-20,0.3
EMP0130,Bob Jones,58.0,Non-binary,Marketing,Leeds,25917.0,17,3.4,High School,Active,2011-01-23,3.3
EMP0131,Isla Smith,44.0,Non-binary,Finance,London,89575.0,10,,High School,Active,2011-01-26,7.7
EMP0132,Henry Jones,60.0,Female,Sales,Glasgow,,19,2.2,PhD,Resigned,2011-01-29,2.9
EMP0133,Isla Wilson,36.0,Female,HR,London,43062.0,4,2.8,,Active,2011-02-01,24.6
EMP0134,Alice Taylor,,Female,Operations,Bristol,41999.0,18,2.6,Bachelor,Active,2011-02-04,7.7
EMP0135,Henry Davis,57.0,Non-binary,Finance,Leeds,86845.0,21,4.9,High School,Active,2011-02-07,3.3
EMP0136,Alice Davis,34.0,Non-binary,IT,,34941.0,18,2.2,Master,Resigned,2011-02-10,5.0
EMP0137,Diana Davis,53.0,Male,Sales,Birmingham,86169.0,15,2.2,High School,Active,2011-02-13,14.7
EMP0138,Diana Brown,28.0,Male,HR,Leeds,48470.0,23,2.4,,Active,2011-02-16,1.6
EMP0139,Charlie Davis,43.0,Female,Marketing,,84821.0,3,3.3,PhD,Active,2011-02-19,21.6
EMP0140,Bob Brown,49.0,Non-binary,HR,Manchester,69435.0,14,2.0,Bachelor,Active,2011-02-22,24.0
EMP0141,Grace Brown,23.0,Non-binary,IT,London,29529.0,24,4.7,Bachelor,Active,2011-02-25,
EMP0142,Eve Taylor,27.0,Non-binary,Operations,Bristol,37192.0,34,2.1,High School,Resigned,2011-02-28,11.3
EMP0143,Grace Jones,,Female,Operations,Glasgow,59087.0,13,4.6,Bachelor,Active,2011-03-03,0.6
EMP0144,Eve Davis,49.0,Male,Sales,Leeds,91677.0,18,1.4,Master,Active,2011-03-06,16.0
EMP0145,James Brown,,Female,Operations,London,29627.0,6,3.6,Master,Active,2011-03-09,10.3
EMP0146,Bob Jones,51.0,Male,Sales,Birmingham,81541.0,29,4.6,Bachelor,Active,2011-03-12,6.8
EMP0147,Diana Smith,32.0,Male,Sales,Manchester,93226.0,18,1.7,Master,Active,2011-03-15,5.2
EMP0148,Henry Jones,49.0,Female,Sales,Glasgow,28255.0,24,4.9,Master,Active,2011-03-18,16.4
EMP0149,Charlie Jones,46.0,Male,Marketing,Birmingham,82433.0,15,2.8,High School,Active,2011-03-21,10.4
EMP0150,Grace Jones,60.0,Male,Finance,Leeds,30213.0,7,4.8,Master,Active,2011-03-24,4.5
EMP0151,Charlie Brown,54.0,Non-binary,Sales,London,44404.0,17,3.7,PhD,On Leave,2011-03-27,17.2
EMP0152,Isla Taylor,22.0,Male,Sales,Leeds,50380.0,27,2.2,PhD,On Leave,2011-03-30,14.1
EMP0153,Grace Wilson,48.0,Female,Finance,London,44173.0,15,1.8,High School,Active,2011-04-02,21.5
EMP0154,Grace Jones,34.0,Female,HR,Bristol,78027.0,18,2.2,Bachelor,Active,2011-04-05,2.9
EMP0155,Diana Jones,24.0,Male,Sales,Manchester,,16,1.4,High School,Resigned,2011-04-08,19.6
EMP0156,Alice Smith,60.0,Non-binary,Marketing,Bristol,49519.0,12,1.6,Bachelor,Resigned,2011-04-11,
EMP0157,Bob Brown,27.0,Non-binary,Operations,Bristol,47439.0,6,1.4,Bachelor,On Leave,2011-04-14,2.9
EMP0158,Diana Wilson,29.0,Male,Operations,Leeds,39995.0,26,2.7,Bachelor,Active,2011-04-17,17.4
EMP0159,James Smith,48.0,Male,IT,Manchester,48559.0,9,4.2,Bachelor,On Leave,2011-04-20,11.0
EMP0160,James Taylor,30.0,Female,IT,London,30021.0,33,1.6,Bachelor,Active,2011-04-23,23.6
EMP0161,Alice Davis,58.0,Male,Operations,London,46119.0,24,1.5,High School,Active,2011-04-26,3.5
EMP0162,Charlie Jones,54.0,Non-binary,Operations,Glasgow,76539.0,5,3.6,Bachelor,Resigned,2011-04-29,16.1
EMP0163,Frank Brown,45.0,Male,Marketing,Birmingham,64350.0,23,1.8,Master,Active,2011-05-02,9.5
EMP0164,Bob Brown,36.0,Female,Finance,,71223.0,17,1.4,Master,Active,2011-05-05,23.9
EMP0165,James Brown,53.0,Female,IT,Glasgow,50517.0,22,1.7,Bachelor,Active,2011-05-08,8.2
EMP0166,Eve Taylor,53.0,Female,Finance,London,47250.0,5,4.7,Master,On Leave,2011-05-11,24.1
EMP0167,Isla Wilson,45.0,Female,Marketing,Leeds,91798.0,28,4.3,PhD,Active,2011-05-14,22.5
EMP0168,James Jones,33.0,Female,Operations,Bristol,79199.0,24,2.4,High School,Active,2011-05-17,6.8
EMP0169,Alice Jones,,Male,Sales,Bristol,84546.0,16,3.6,,Resigned,2011-05-20,20.1
EMP0170,James Wilson,23.0,Male,Finance,Bristol,28327.0,23,3.1,Bachelor,Active,2011-05-23,24.9
EMP0171,Isla Jones,24.0,Male,Operations,Manchester,54768.0,10,3.7,Bachelor,Active,2011-05-26,6.3
EMP0172,Grace Jones,,Male,Operations,,,25,3.7,PhD,Active,2011-05-29,10.9
EMP0173,Charlie Jones,38.0,Female,HR,Leeds,67788.0,33,3.5,Bachelor,Active,2011-06-01,
EMP0174,Diana Wilson,23.0,Non-binary,Finance,Manchester,71830.0,27,2.1,Master,Active,2011-06-04,7.4
EMP0175,Diana Taylor,23.0,Male,Sales,Birmingham,77446.0,2,1.2,PhD,On Leave,2011-06-07,
EMP0176,Grace Smith,49.0,Non-binary,Finance,Leeds,,10,2.8,Master,Active,2011-06-10,5.5
EMP0177,Henry Smith,44.0,Male,Operations,Glasgow,81583.0,13,4.6,High School,Active,2011-06-13,7.0
EMP0178,Eve Taylor,58.0,Male,Sales,Leeds,58998.0,25,3.3,Master,Active,2011-06-16,11.1
EMP0179,Eve Brown,53.0,Non-binary,Marketing,Leeds,52230.0,20,4.3,High School,Active,2011-06-19,4.3
EMP0180,Diana Smith,54.0,Female,HR,Bristol,34076.0,29,5.0,Master,Active,2011-06-22,21.8
EMP0181,Alice Brown,22.0,Male,Operations,Leeds,94341.0,7,1.7,High School,Active,2011-06-25,17.6
EMP0182,Frank Wilson,40.0,Male,IT,Glasgow,56085.0,19,3.8,Bachelor,Active,2011-06-28,2.1
EMP0183,Frank Smith,,Male,IT,Glasgow,80571.0,31,3.7,Master,Active,2011-07-01,16.3
EMP0184,Frank Brown,47.0,Non-binary,HR,London,39715.0,21,,High School,On Leave,2011-07-04,16.3
EMP0185,Alice Wilson,53.0,Female,Marketing,Leeds,30750.0,6,4.9,Master,Active,2011-07-07,23.9
EMP0186,James Smith,27.0,Non-binary,Operations,Bristol,60903.0,8,3.7,PhD,Active,2011-07-10,0.1
EMP0187,Frank Jones,,Non-binary,Finance,,57093.0,0,2.0,Bachelor,Active,2011-07-13,
EMP0188,Bob Taylor,25.0,Female,HR,Birmingham,59314.0,28,,,Active,2011-07-16,
EMP0189,Eve Smith,32.0,Non-binary,Marketing,Birmingham,73225.0,7,1.4,PhD,On Leave,2011-07-19,23.3
EMP0190,Frank Taylor,38.0,Female,Finance,Bristol,60179.0,3,,,On Leave,2011-07-22,18.0
EMP0191,Eve Smith,59.0,Male,IT,London,50338.0,34,4.6,PhD,On Leave,2011-07-25,19.1
EMP0192,Alice Brown,45.0,Female,IT,London,,2,2.5,,Active,2011-07-28,2.3
EMP0193,Bob Brown,26.0,Male,Finance,Glasgow,57101.0,6,3.5,Bachelor,Active,2011-07-31,12.8
EMP0194,Charlie Davis,55.0,Non-binary,HR,Glasgow,27775.0,26,2.7,PhD,On Leave,2011-08-03,5.8
EMP0195,Grace Davis,27.0,Non-binary,IT,Manchester,,0,2.8,Bachelor,Active,2011-08-06,4.5
EMP0196,Grace Brown,43.0,Male,Operations,Bristol,70838.0,26,2.2,High School,Active,2011-08-09,20.3
EMP0197,Grace Taylor,32.0,Non-binary,Sales,Leeds,44539.0,15,4.0,Master,Active,2011-08-12,3.4
EMP0198,James Smith,37.0,Female,Finance,Bristol,82124.0,6,4.7,Master,Active,2011-08-15,11.7
EMP0199,Frank Wilson,54.0,Male,Finance,,90149.0,22,4.8,,Active,2011-08-18,23.5
EMP0200,Charlie Brown,30.0,Non-binary,IT,Glasgow,51616.0,10,1.7,Bachelor,On Leave,2011-08-21,4.6
EMP0201,Frank Jones,27.0,Male,HR,Bristol,79567.0,32,4.5,High School,On Leave,2011-08-24,24.4
EMP0202,Charlie Jones,37.0,Female,Operations,Bristol,,16,3.9,PhD,Active,2011-08-27,24.9
EMP0203,Isla Taylor,50.0,Female,HR,Glasgow,86799.0,34,2.0,Master,On Leave,2011-08-30,13.9
EMP0204,Henry Smith,24.0,Non-binary,Marketing,Manchester,50479.0,4,1.3,Master,Active,2011-09-02,4.3
EMP0205,Frank Jones,41.0,Female,Marketing,Glasgow,71172.0,31,2.1,High School,Active,2011-09-05,7.9
EMP0206,Grace Brown,57.0,Male,Sales,London,80863.0,2,4.6,High School,On Leave,2011-09-08,10.6
EMP0207,Alice Jones,40.0,Female,IT,Leeds,67043.0,34,3.5,Bachelor,Active,2011-09-11,7.7
EMP0208,Frank Wilson,47.0,Male,IT,Glasgow,40408.0,13,3.9,,Resigned,2011-09-14,7.0
EMP0209,Eve Wilson,24.0,Male,IT,Manchester,82980.0,30,2.0,PhD,Active,2011-09-17,
EMP0210,Bob Davis,40.0,Female,Sales,Birmingham,41351.0,30,3.9,,Resigned,2011-09-20,3.8
EMP0211,James Taylor,41.0,Non-binary,Marketing,London,29131.0,16,1.1,PhD,On Leave,2011-09-23,18.3
EMP0212,Isla Jones,,Female,HR,Birmingham,69825.0,23,2.5,High School,Active,2011-09-26,0.0
EMP0213,Grace Brown,28.0,Male,Sales,Glasgow,36349.0,22,3.5,Master,On Leave,2011-09-29,
EMP0214,Isla Wilson,54.0,Male,Sales,London,85931.0,17,1.6,High School,Resigned,2011-10-02,22.9
EMP0215,Grace Wilson,61.0,Female,HR,Leeds,69254.0,13,4.3,High School,On Leave,2011-10-05,7.2
EMP0216,Eve Jones,60.0,Non-binary,IT,Glasgow,,14,1.9,Master,Active,2011-10-08,
EMP0217,Isla Davis,39.0,Non-binary,Operations,Leeds,37453.0,14,3.6,High School,Resigned,2011-10-11,16.3
EMP0218,Frank Smith,61.0,Male,HR,Bristol,43814.0,5,2.6,PhD,On Leave,2011-10-14,17.8
EMP0219,Frank Wilson,22.0,Male,Marketing,Birmingham,43263.0,26,3.4,Bachelor,Active,2011-10-17,17.2
EMP0220,James Taylor,32.0,Non-binary,Finance,London,40735.0,14,1.4,Bachelor,On Leave,2011-10-20,
EMP0221,Grace Davis,49.0,Female,Finance,Leeds,,7,,PhD,Active,2011-10-23,6.3
EMP0222,Alice Davis,46.0,Male,Sales,Manchester,72893.0,14,4.6,Master,Active,2011-10-26,
EMP0223,Grace Davis,44.0,Male,Finance,Leeds,69673.0,2,2.1,High School,On Leave,2011-10-29,23.1
EMP0224,Frank Taylor,52.0,Non-binary,Operations,Manchester,70066.0,12,4.3,PhD,Active,2011-11-01,11.4
EMP0225,Bob Smith,51.0,Female,IT,Glasgow,28373.0,33,5.0,Bachelor,Resigned,2011-11-04,21.2
EMP0226,Henry Davis,56.0,Non-binary,Marketing,London,35335.0,23,1.8,Bachelor,Active,2011-11-07,11.3
EMP0227,Bob Wilson,28.0,Female,Operations,Leeds,48741.0,31,2.1,PhD,Resigned,2011-11-10,
EMP0228,Frank Jones,37.0,Female,Marketing,Leeds,35692.0,31,3.7,Bachelor,Active,2011-11-13,3.9
EMP0229,Diana Brown,47.0,Female,Marketing,London,,29,4.9,PhD,Active,2011-11-16,
EMP0230,Charlie Wilson,23.0,Male,IT,Leeds,70541.0,12,4.7,Bachelor,Active,2011-11-19,13.4
EMP0231,Alice Jones,22.0,Non-binary,Sales,,59057.0,0,3.0,PhD,On Leave,2011-11-22,
EMP0232,Frank Brown,33.0,Non-binary,Finance,Leeds,91983.0,33,4.2,High School,Active,2011-11-25,11.1
EMP0233,James Brown,26.0,Female,IT,Birmingham,44583.0,14,1.5,High School,Active,2011-11-28,19.5
EMP0234,Diana Davis,58.0,Male,Operations,Glasgow,47765.0,13,4.9,High School,Active,2011-12-01,17.0
EMP0235,Frank Wilson,53.0,Male,Sales,Bristol,84287.0,28,4.9,High School,Active,2011-12-04,15.9
EMP0236,Frank Wilson,30.0,Non-binary,Operations,Manchester,48906.0,33,1.7,Bachelor,Active,2011-12-07,22.7
EMP0237,Eve Taylor,56.0,Male,Sales,Birmingham,71525.0,17,2.2,Master,On Leave,2011-12-10,0.5
EMP0238,Alice Jones,40.0,Male,Operations,Glasgow,63230.0,6,1.4,,Resigned,2011-12-13,13.9
EMP0239,Eve Davis,37.0,Female,IT,London,44520.0,28,2.1,Master,Active,2011-12-16,19.7
